indonesia,osing
aku memasak pisau ke sungai,isun ngolah lading nyang kali
nenek membawa kunci dari bukit,embyah nggowo kunci teko puthuk
aku memanggil pisang ke pasar,isun ngundang gedhang nyang pasar
mereka memanggil sayur di bukit,wong-wong ngundang jangan nong puthuk
saya memasak pisau dari sungai,isun ngolah lading teko kali
dia membawa anak,yane nggowo lare
anak mencium pisau di rumah,lare ngambung lading nong umah
saya memanggil kunci di bukit,isun ngundang kunci nong puthuk
anak menyapu pisau dari dapur,lare nyapu lading teko pawon
kamu membawa bunga di rumah,riko nggowo kembang nong umah
anak membawa nasi ke bukit,lare nggowo sego nyang puthuk
kamu memanggil buku dari sungai,riko ngundang buku teko kali
saya melihat pisang dari sungai,isun ndeleng gedhang teko kali
dia melihat kunci,yane ndeleng kunci
bapak memanggil nasi ke pasar,bapak ngundang sego nyang pasar
mereka mencium pisang,wong-wong ngambung gedhang
dia memukul bunga di dapur,yane nyampat kembang nong pawon
mereka melihat air di rumah,wong-wong ndeleng byanyu nong umah
anak mencium pisau dari bukit,lare ngambung lading teko puthuk
nenek memukul buku,embyah nyampat buku
bapak melihat pisau ke rumah,bapak ndeleng lading nyang umah
aku memasak bunga,isun ngolah kembang
nenek mencium buku,embyah ngambung buku
bapak membawa pisang,bapak nggowo gedhang
anak menyapu buku ke bukit,lare nyapu buku nyang puthuk
anak memukul kunci,lare nyampat kunci
mereka mencium sayur,wong-wong ngambung jangan
anak mengambil pisau di dapur,lare njuwut lading nong pawon
dia memukul anak di bukit,yane nyampat lare nong puthuk
mereka memukul anak dari pasar,wong-wong nyampat lare teko pasar
kamu memanggil kunci di dapur,riko ngundang kunci nong pawon
mereka melihat kunci dari sungai,wong-wong ndeleng kunci teko kali
kamu mencium kunci dari sungai,riko ngambung kunci teko kali
anak memukul nasi dari rumah,lare nyampat sego teko umah
nenek mengambil nasi,embyah njuwut sego
anak memanggil pisau di pasar,lare ngundang lading nong pasar
ibu mencium kunci ke rumah,mak ngambung kunci nyang umah
ibu menyimpan air di bukit,mak nyimpen byanyu nong puthuk
anak melihat sayur dari dapur,lare ndeleng jangan teko pawon
saya menyimpan pisau dari rumah,isun nyimpen lading teko umah
saya mengambil sayur,isun njuwut jangan
kamu mengambil pisau,riko njuwut lading
dia memukul anak dari rumah,yane nyampat lare teko umah
bapak mencium air ke bukit,bapak ngambung byanyu nyang puthuk
kamu mengambil air di sungai,riko njuwut byanyu nong kali
bapak memasak air di rumah,bapak ngolah byanyu nong umah
kamu menyimpan anak dari dapur,riko nyimpen lare teko pawon
ibu mengambil anak di dapur,mak njuwut lare nong pawon
bapak menyimpan anak di sungai,bapak nyimpen lare nong kali
bapak membawa anak dari dapur,bapak nggowo lare teko pawon
dia menyimpan bunga,yane nyimpen kembang
bapak memukul pisang di rumah,bapak nyampat gedhang nong umah
ibu menyimpan anak,mak nyimpen lare
nenek memanggil buku,embyah ngundang buku
mereka memasak bunga dari sungai,wong-wong ngolah kembang teko kali
bapak memasak air,bapak ngolah byanyu
dia memasak air ke rumah,yane ngolah byanyu nyang umah
kamu memasak kunci dari pasar,riko ngolah kunci teko pasar
dia memukul anak,yane nyampat lare
mereka membawa pisang dari pasar,wong-wong nggowo gedhang teko pasar
bapak memasak pisau dari rumah,bapak ngolah lading teko umah
bapak menyimpan nasi di bukit,bapak nyimpen sego nong puthuk
kamu memukul buku dari dapur,riko nyampat buku teko pawon
anak menyapu kunci di rumah,lare nyapu kunci nong umah
kamu memanggil pisau ke pasar,riko ngundang lading nyang pasar
nenek membawa kunci dari dapur,embyah nggowo kunci teko pawon
saya melihat air ke bukit,isun ndeleng byanyu nyang puthuk
anak mengambil pisang ke sungai,lare njuwut gedhang nyang kali
dia mengambil bunga ke pasar,yane njuwut kembang nyang pasar
anak mencium bunga,lare ngambung kembang
ibu memukul anak dari bukit,mak nyampat lare teko puthuk
bapak memasak buku di sungai,bapak ngolah buku nong kali
mereka memasak bunga,wong-wong ngolah kembang
dia menyapu air ke rumah,yane nyapu byanyu nyang umah
anak memasak sayur,lare ngolah jangan
dia memanggil pisau ke sungai,yane ngundang lading nyang kali
bapak memukul bunga,bapak nyampat kembang
saya melihat air ke bukit,isun ndeleng byanyu nyang puthuk
nenek melihat anak di sungai,embyah ndeleng lare nong kali
saya melihat sayur dari rumah,isun ndeleng jangan teko umah
saya mencium sayur di rumah,isun ngambung jangan nong umah
dia memasak nasi,yane ngolah sego
kamu mencium buku,riko ngambung buku
saya menyapu pisang ke dapur,isun nyapu gedhang nyang pawon
kamu menyimpan sayur ke bukit,riko nyimpen jangan nyang puthuk
kamu menyimpan anak,riko nyimpen lare
saya memukul anak di sungai,isun nyampat lare nong kali
dia menyimpan kunci di bukit,yane nyimpen kunci nong puthuk
nenek memasak anak,embyah ngolah lare
dia menyapu pisau dari bukit,yane nyapu lading teko puthuk
aku mengambil sayur ke bukit,isun njuwut jangan nyang puthuk
mereka melihat anak,wong-wong ndeleng lare
dia mencium buku ke bukit,yane ngambung buku nyang puthuk
bapak memukul pisang dari dapur,bapak nyampat gedhang teko pawon
bapak melihat nasi,bapak ndeleng sego
nenek memasak kunci,embyah ngolah kunci
aku membawa air dari dapur,isun nggowo byanyu teko pawon
kamu menyimpan anak ke sungai,riko nyimpen lare nyang kali
mereka melihat pisang di bukit,wong-wong ndeleng gedhang nong puthuk
anak memasak pisang di sungai,lare ngolah gedhang nong kali
saya memukul nasi,isun nyampat sego
kamu membawa kunci dari rumah,riko nggowo kunci teko umah
bapak menyimpan buku dari bukit,bapak nyimpen buku teko puthuk
aku menyapu nasi dari pasar,isun nyapu sego teko pasar
anak mencium pisau,lare ngambung lading
bapak memukul anak,bapak nyampat lare
ibu melihat anak,mak ndeleng lare
kamu memukul sayur,riko nyampat jangan
dia membawa sayur,yane nggowo jangan
bapak menyapu nasi di sungai,bapak nyapu sego nong kali
bapak memukul pisau dari bukit,bapak nyampat lading teko puthuk
aku memanggil nasi ke sungai,isun ngundang sego nyang kali
kamu memasak pisang di rumah,riko ngolah gedhang nong umah
nenek mencium nasi,embyah ngambung sego
aku membawa nasi dari sungai,isun nggowo sego teko kali
bapak memasak air,bapak ngolah byanyu
dia memukul bunga ke dapur,yane nyampat kembang nyang pawon
kamu menyimpan nasi dari rumah,riko nyimpen sego teko umah
aku menyapu nasi dari dapur,isun nyapu sego teko pawon
bapak membawa air dari sungai,bapak nggowo byanyu teko kali
dia membawa buku di bukit,yane nggowo buku nong puthuk
anak melihat kunci ke bukit,lare ndeleng kunci nyang puthuk
ibu memukul sayur di pasar,mak nyampat jangan nong pasar
dia memanggil pisang,yane ngundang gedhang
ibu mengambil pisang di sungai,mak njuwut gedhang nong kali
dia melihat air ke rumah,yane ndeleng byanyu nyang umah
kamu melihat buku,riko ndeleng buku
aku mengambil anak,isun njuwut lare
kamu melihat nasi,riko ndeleng sego
dia menyapu pisau,yane nyapu lading
nenek membawa kunci dari bukit,embyah nggowo kunci teko puthuk
anak melihat pisang,lare ndeleng gedhang
kamu menyimpan nasi dari sungai,riko nyimpen sego teko kali
bapak melihat pisau,bapak ndeleng lading
ibu membawa pisau di pasar,mak nggowo lading nong pasar
ibu mengambil air dari dapur,mak njuwut byanyu teko pawon
dia menyimpan anak,yane nyimpen lare
dia mengambil pisang di sungai,yane njuwut gedhang nong kali
saya mengambil pisang di sungai,isun njuwut gedhang nong kali
bapak memasak air di sungai,bapak ngolah byanyu nong kali
bapak mengambil air di sungai,bapak njuwut byanyu nong kali
dia membawa buku ke bukit,yane nggowo buku nyang puthuk
nenek melihat bunga dari sungai,embyah ndeleng kembang teko kali
mereka mencium anak ke dapur,wong-wong ngambung lare nyang pawon
nenek melihat anak dari sungai,embyah ndeleng lare teko kali
dia melihat kunci,yane ndeleng kunci
mereka menyapu kunci dari sungai,wong-wong nyapu kunci teko kali
nenek membawa nasi dari dapur,embyah nggowo sego teko pawon
kamu mencium air,riko ngambung byanyu
aku membawa anak ke sungai,isun nggowo lare nyang kali
bapak mengambil nasi,bapak njuwut sego
saya melihat nasi di dapur,isun ndeleng sego nong pawon
ibu memanggil buku dari pasar,mak ngundang buku teko pasar
saya menyapu anak,isun nyapu lare
nenek memukul bunga di sungai,embyah nyampat kembang nong kali
mereka mengambil anak ke dapur,wong-wong njuwut lare nyang pawon
kamu mencium nasi dari bukit,riko ngambung sego teko puthuk
dia memanggil buku,yane ngundang buku
kamu memukul nasi di sungai,riko nyampat sego nong kali
bapak menyapu sayur,bapak nyapu jangan
nenek menyapu sayur di dapur,embyah nyapu jangan nong pawon
saya memanggil pisang,isun ngundang gedhang
kamu mencium pisang di sungai,riko ngambung gedhang nong kali
mereka memanggil kunci,wong-wong ngundang kunci
bapak mencium anak ke bukit,bapak ngambung lare nyang puthuk
nenek mencium nasi ke sungai,embyah ngambung sego nyang kali
anak menyimpan bunga di rumah,lare nyimpen kembang nong umah
anak memanggil bunga di dapur,lare ngundang kembang nong pawon
anak mengambil nasi ke dapur,lare njuwut sego nyang pawon
dia mengambil nasi,yane njuwut sego
aku mengambil air ke sungai,isun njuwut byanyu nyang kali
bapak menyimpan air dari dapur,bapak nyimpen byanyu teko pawon
ibu mencium sayur ke sungai,mak ngambung jangan nyang kali
ibu memasak nasi,mak ngolah sego
dia melihat buku dari pasar,yane ndeleng buku teko pasar
dia memasak sayur dari rumah,yane ngolah jangan teko umah
aku memasak kunci di bukit,isun ngolah kunci nong puthuk
anak mengambil anak,lare njuwut lare
aku memanggil air di sungai,isun ngundang byanyu nong kali
saya mencium air,isun ngambung byanyu
saya mengambil nasi dari dapur,isun njuwut sego teko pawon
mereka mencium buku ke dapur,wong-wong ngambung buku nyang pawon
ibu memanggil bunga,mak ngundang kembang
nenek menyapu sayur,embyah nyapu jangan
kamu memanggil sayur di rumah,riko ngundang jangan nong umah
bapak memasak bunga ke bukit,bapak ngolah kembang nyang puthuk
bapak mencium air ke dapur,bapak ngambung byanyu nyang pawon
aku menyimpan air ke sungai,isun nyimpen byanyu nyang kali
bapak menyimpan anak,bapak nyimpen lare
mereka menyapu kunci di dapur,wong-wong nyapu kunci nong pawon
kamu mencium air di dapur,riko ngambung byanyu nong pawon
kamu mencium nasi,riko ngambung sego
dia memanggil anak dari bukit,yane ngundang lare teko puthuk
ibu memasak pisang dari pasar,mak ngolah gedhang teko pasar
saya memanggil nasi ke pasar,isun ngundang sego nyang pasar
anak menyapu pisau di sungai,lare nyapu lading nong kali
aku memanggil anak di dapur,isun ngundang lare nong pawon
dia memasak pisang dari dapur,yane ngolah gedhang teko pawon
anak memasak nasi dari sungai,lare ngolah sego teko kali
saya memukul buku di sungai,isun nyampat buku nong kali
mereka membawa sayur,wong-wong nggowo jangan
mereka mengambil sayur ke dapur,wong-wong njuwut jangan nyang pawon
kamu memukul sayur,riko nyampat jangan
aku memanggil kunci di pasar,isun ngundang kunci nong pasar
ibu memukul anak di pasar,mak nyampat lare nong pasar
dia mengambil anak,yane njuwut lare
aku mencium sayur,isun ngambung jangan
dia melihat sayur di rumah,yane ndeleng jangan nong umah
saya membawa anak ke sungai,isun nggowo lare nyang kali
nenek membawa sayur,embyah nggowo jangan
anak memanggil pisau ke dapur,lare ngundang lading nyang pawon
anak menyimpan pisang,lare nyimpen gedhang
dia membawa buku,yane nggowo buku
anak membawa buku dari rumah,lare nggowo buku teko umah
saya menyapu pisau,isun nyapu lading
saya membawa kunci dari dapur,isun nggowo kunci teko pawon
saya memanggil bunga di rumah,isun ngundang kembang nong umah
kamu menyapu kunci dari sungai,riko nyapu kunci teko kali
saya mengambil anak di sungai,isun njuwut lare nong kali
kamu memanggil anak di bukit,riko ngundang lare nong puthuk
bapak melihat buku dari pasar,bapak ndeleng buku teko pasar
ibu menyapu anak di sungai,mak nyapu lare nong kali
aku menyapu buku dari bukit,isun nyapu buku teko puthuk
kamu membawa buku ke pasar,riko nggowo buku nyang pasar
nenek menyapu sayur,embyah nyapu jangan
ibu memasak pisau ke bukit,mak ngolah lading nyang puthuk
dia menyapu air dari pasar,yane nyapu byanyu teko pasar
bapak memasak nasi di sungai,bapak ngolah sego nong kali
bapak mengambil buku,bapak njuwut buku
mereka memukul kunci,wong-wong nyampat kunci
dia memukul bunga,yane nyampat kembang
ibu mencium buku di rumah,mak ngambung buku nong umah
anak memukul air ke pasar,lare nyampat byanyu nyang pasar
nenek menyimpan bunga dari sungai,embyah nyimpen kembang teko kali
ibu menyimpan pisau ke dapur,mak nyimpen lading nyang pawon
bapak membawa anak dari dapur,bapak nggowo lare teko pawon
saya melihat sayur dari bukit,isun ndeleng jangan teko puthuk
kamu membawa bunga dari pasar,riko nggowo kembang teko pasar
saya membawa anak ke rumah,isun nggowo lare nyang umah
saya memasak air dari dapur,isun ngolah byanyu teko pawon
aku membawa pisau di dapur,isun nggowo lading nong pawon
bapak menyapu kunci di sungai,bapak nyapu kunci nong kali
dia memukul air di rumah,yane nyampat byanyu nong umah
anak memasak bunga di rumah,lare ngolah kembang nong umah
mereka memukul buku di pasar,wong-wong nyampat buku nong pasar
kamu memasak nasi di bukit,riko ngolah sego nong puthuk
dia membawa kunci di bukit,yane nggowo kunci nong puthuk
dia melihat anak dari pasar,yane ndeleng lare teko pasar
aku menyimpan kunci ke bukit,isun nyimpen kunci nyang puthuk
mereka mencium buku ke bukit,wong-wong ngambung buku nyang puthuk
saya menyimpan nasi ke rumah,isun nyimpen sego nyang umah
nenek mengambil kunci dari pasar,embyah njuwut kunci teko pasar
kamu mencium pisau ke dapur,riko ngambung lading nyang pawon
bapak mengambil pisang dari rumah,bapak njuwut gedhang teko umah
dia menyapu buku dari bukit,yane nyapu buku teko puthuk
aku menyapu anak di dapur,isun nyapu lare nong pawon
ibu membawa nasi,mak nggowo sego
aku melihat nasi di sungai,isun ndeleng sego nong kali
mereka menyapu nasi di sungai,wong-wong nyapu sego nong kali
ibu memasak kunci ke pasar,mak ngolah kunci nyang pasar
saya mengambil sayur di rumah,isun njuwut jangan nong umah
kamu melihat buku,riko ndeleng buku
saya menyapu sayur ke dapur,isun nyapu jangan nyang pawon
nenek mencium sayur ke bukit,embyah ngambung jangan nyang puthuk
mereka membawa kunci di pasar,wong-wong nggowo kunci nong pasar
mereka melihat pisau dari pasar,wong-wong ndeleng lading teko pasar
ibu memukul pisang di sungai,mak nyampat gedhang nong kali
kamu menyapu pisau,riko nyapu lading
nenek melihat nasi di dapur,embyah ndeleng sego nong pawon
mereka menyapu bunga ke pasar,wong-wong nyapu kembang nyang pasar
mereka memasak buku di dapur,wong-wong ngolah buku nong pawon
kamu memanggil buku di bukit,riko ngundang buku nong puthuk
saya melihat pisau ke dapur,isun ndeleng lading nyang pawon
kamu memukul anak di bukit,riko nyampat lare nong puthuk
mereka membawa anak ke bukit,wong-wong nggowo lare nyang puthuk
nenek memasak nasi di dapur,embyah ngolah sego nong pawon
dia memanggil sayur di bukit,yane ngundang jangan nong puthuk
bapak mengambil bunga,bapak njuwut kembang
aku mengambil air di rumah,isun njuwut byanyu nong umah
mereka menyapu air,wong-wong nyapu byanyu
anak menyimpan anak ke bukit,lare nyimpen lare nyang puthuk
anak menyimpan nasi dari sungai,lare nyimpen sego teko kali
nenek mengambil sayur ke dapur,embyah njuwut jangan nyang pawon
aku memukul nasi ke dapur,isun nyampat sego nyang pawon
ibu memanggil pisau,mak ngundang lading
mereka melihat buku ke rumah,wong-wong ndeleng buku nyang umah
mereka memanggil sayur ke pasar,wong-wong ngundang jangan nyang pasar
nenek menyapu pisang di dapur,embyah nyapu gedhang nong pawon
saya memanggil nasi dari bukit,isun ngundang sego teko puthuk
bapak memukul nasi ke bukit,bapak nyampat sego nyang puthuk
mereka menyimpan anak ke dapur,wong-wong nyimpen lare nyang pawon
saya memasak pisau dari sungai,isun ngolah lading teko kali
mereka membawa pisang,wong-wong nggowo gedhang
ibu memanggil bunga ke pasar,mak ngundang kembang nyang pasar
mereka mencium bunga,wong-wong ngambung kembang
dia menyapu nasi di sungai,yane nyapu sego nong kali
mereka mengambil pisang,wong-wong njuwut gedhang
anak memasak anak di pasar,lare ngolah lare nong pasar
saya membawa buku ke pasar,isun nggowo buku nyang pasar
saya menyimpan kunci dari pasar,isun nyimpen kunci teko pasar
nenek memanggil nasi dari bukit,embyah ngundang sego teko puthuk
saya melihat sayur ke bukit,isun ndeleng jangan nyang puthuk
mereka mencium nasi di rumah,wong-wong ngambung sego nong umah
kamu memukul nasi,riko nyampat sego
dia mengambil bunga ke pasar,yane njuwut kembang nyang pasar
aku mencium pisau dari sungai,isun ngambung lading teko kali
saya menyimpan bunga di dapur,isun nyimpen kembang nong pawon
bapak melihat anak,bapak ndeleng lare
saya menyimpan kunci,isun nyimpen kunci
ibu memukul pisau dari rumah,mak nyampat lading teko umah
mereka memanggil buku dari rumah,wong-wong ngundang buku teko umah
nenek mencium buku di dapur,embyah ngambung buku nong pawon
ibu menyimpan kunci,mak nyimpen kunci
mereka memasak pisang,wong-wong ngolah gedhang
bapak menyimpan sayur ke bukit,bapak nyimpen jangan nyang puthuk
aku memasak air,isun ngolah byanyu
dia mengambil kunci dari dapur,yane njuwut kunci teko pawon
mereka menyapu kunci ke sungai,wong-wong nyapu kunci nyang kali
aku mengambil pisau di sungai,isun njuwut lading nong kali
ibu mengambil kunci di bukit,mak njuwut kunci nong puthuk
anak mencium bunga ke sungai,lare ngambung kembang nyang kali
kamu mengambil anak dari sungai,riko njuwut lare teko kali
anak menyimpan pisang,lare nyimpen gedhang
nenek mencium bunga di bukit,embyah ngambung kembang nong puthuk
kamu memasak pisang ke pasar,riko ngolah gedhang nyang pasar
nenek melihat pisau,embyah ndeleng lading
saya membawa nasi,isun nggowo sego
aku membawa buku dari sungai,isun nggowo buku teko kali
aku memanggil bunga ke bukit,isun ngundang kembang nyang puthuk
dia menyimpan pisang dari pasar,yane nyimpen gedhang teko pasar
nenek memasak nasi dari sungai,embyah ngolah sego teko kali
saya menyapu air ke pasar,isun nyapu byanyu nyang pasar
nenek memanggil anak di sungai,embyah ngundang lare nong kali
mereka melihat air di pasar,wong-wong ndeleng byanyu nong pasar
kamu menyimpan anak ke dapur,riko nyimpen lare nyang pawon
dia melihat sayur,yane ndeleng jangan
mereka mencium bunga ke rumah,wong-wong ngambung kembang nyang umah
aku memasak pisau di bukit,isun ngolah lading nong puthuk
dia mencium pisau di sungai,yane ngambung lading nong kali
aku menyapu buku dari sungai,isun nyapu buku teko kali
ibu memukul pisang,mak nyampat gedhang
ibu membawa bunga di rumah,mak nggowo kembang nong umah
dia melihat bunga di sungai,yane ndeleng kembang nong kali
mereka mengambil anak ke rumah,wong-wong njuwut lare nyang umah
ibu memanggil air ke dapur,mak ngundang byanyu nyang pawon
nenek melihat pisang dari rumah,embyah ndeleng gedhang teko umah
nenek mencium bunga di pasar,embyah ngambung kembang nong pasar
mereka melihat bunga ke rumah,wong-wong ndeleng kembang nyang umah
mereka memasak sayur di bukit,wong-wong ngolah jangan nong puthuk
saya memanggil bunga ke dapur,isun ngundang kembang nyang pawon
mereka memanggil kunci dari pasar,wong-wong ngundang kunci teko pasar
kamu mencium sayur di rumah,riko ngambung jangan nong umah
mereka mencium bunga,wong-wong ngambung kembang
mereka melihat bunga di rumah,wong-wong ndeleng kembang nong umah
dia menyapu pisang,yane nyapu gedhang
kamu membawa sayur dari pasar,riko nggowo jangan teko pasar
ibu mencium pisau di sungai,mak ngambung lading nong kali
ibu memukul kunci,mak nyampat kunci
ibu menyapu anak dari rumah,mak nyapu lare teko umah
bapak mengambil kunci dari sungai,bapak njuwut kunci teko kali
mereka memasak air,wong-wong ngolah byanyu
dia memukul air di rumah,yane nyampat byanyu nong umah
anak melihat bunga ke rumah,lare ndeleng kembang nyang umah
ibu mencium anak ke sungai,mak ngambung lare nyang kali
nenek melihat pisang ke pasar,embyah ndeleng gedhang nyang pasar
aku menyimpan nasi di pasar,isun nyimpen sego nong pasar
dia mengambil kunci ke bukit,yane njuwut kunci nyang puthuk
nenek menyapu buku di dapur,embyah nyapu buku nong pawon
anak membawa bunga dari bukit,lare nggowo kembang teko puthuk
saya mengambil kunci ke rumah,isun njuwut kunci nyang umah
dia mencium anak dari sungai,yane ngambung lare teko kali
kamu menyimpan kunci ke rumah,riko nyimpen kunci nyang umah
kamu memukul nasi ke rumah,riko nyampat sego nyang umah
kamu memasak bunga ke pasar,riko ngolah kembang nyang pasar
nenek menyapu pisau ke rumah,embyah nyapu lading nyang umah
nenek menyapu buku,embyah nyapu buku
dia memukul air dari sungai,yane nyampat byanyu teko kali
anak mengambil air di rumah,lare njuwut byanyu nong umah
saya menyapu anak dari bukit,isun nyapu lare teko puthuk
bapak menyimpan air ke rumah,bapak nyimpen byanyu nyang umah
mereka mengambil pisang dari bukit,wong-wong njuwut gedhang teko puthuk
kamu memukul kunci ke dapur,riko nyampat kunci nyang pawon
kamu melihat air ke dapur,riko ndeleng byanyu nyang pawon
mereka memanggil nasi dari rumah,wong-wong ngundang sego teko umah
mereka memukul sayur ke rumah,wong-wong nyampat jangan nyang umah
dia memanggil sayur,yane ngundang jangan
dia memukul bunga,yane nyampat kembang
anak mencium buku dari bukit,lare ngambung buku teko puthuk
kamu membawa bunga,riko nggowo kembang
aku membawa bunga ke dapur,isun nggowo kembang nyang pawon
bapak memanggil pisang dari sungai,bapak ngundang gedhang teko kali
bapak mencium nasi,bapak ngambung sego
dia menyimpan anak di rumah,yane nyimpen lare nong umah
kamu menyapu pisang ke rumah,riko nyapu gedhang nyang umah
dia melihat pisang dari rumah,yane ndeleng gedhang teko umah
kamu mencium buku dari bukit,riko ngambung buku teko puthuk
dia melihat buku,yane ndeleng buku
kamu membawa air dari pasar,riko nggowo byanyu teko pasar
saya mencium bunga ke bukit,isun ngambung kembang nyang puthuk
aku membawa anak di rumah,isun nggowo lare nong umah
aku mencium bunga dari sungai,isun ngambung kembang teko kali
dia melihat kunci ke pasar,yane ndeleng kunci nyang pasar
aku mencium sayur,isun ngambung jangan
ibu membawa bunga ke dapur,mak nggowo kembang nyang pawon
bapak memukul pisau dari dapur,bapak nyampat lading teko pawon
aku menyapu air dari rumah,isun nyapu byanyu teko umah
kamu menyapu sayur ke bukit,riko nyapu jangan nyang puthuk
anak menyapu pisau ke rumah,lare nyapu lading nyang umah
nenek memasak kunci di rumah,embyah ngolah kunci nong umah
anak membawa sayur,lare nggowo jangan
saya memanggil nasi di rumah,isun ngundang sego nong umah
ibu memanggil pisau,mak ngundang lading
ibu menyapu air di dapur,mak nyapu byanyu nong pawon
aku melihat anak dari sungai,isun ndeleng lare teko kali
aku menyimpan anak dari dapur,isun nyimpen lare teko pawon
ibu mencium kunci ke sungai,mak ngambung kunci nyang kali
aku menyimpan kunci di dapur,isun nyimpen kunci nong pawon
anak mencium pisau ke pasar,lare ngambung lading nyang pasar
bapak memukul bunga di bukit,bapak nyampat kembang nong puthuk
anak melihat anak di bukit,lare ndeleng lare nong puthuk
dia melihat bunga dari pasar,yane ndeleng kembang teko pasar
kamu memukul kunci,riko nyampat kunci
dia memasak pisang di dapur,yane ngolah gedhang nong pawon
bapak menyimpan air ke bukit,bapak nyimpen byanyu nyang puthuk
bapak membawa sayur dari bukit,bapak nggowo jangan teko puthuk
saya mencium pisau dari pasar,isun ngambung lading teko pasar
anak menyimpan buku ke sungai,lare nyimpen buku nyang kali
bapak memanggil bunga ke rumah,bapak ngundang kembang nyang umah
saya menyapu sayur di sungai,isun nyapu jangan nong kali
dia memukul sayur,yane nyampat jangan
anak menyapu sayur di rumah,lare nyapu jangan nong umah
aku memanggil kunci di bukit,isun ngundang kunci nong puthuk
dia memanggil buku di sungai,yane ngundang buku nong kali
dia memasak buku,yane ngolah buku
nenek melihat buku di pasar,embyah ndeleng buku nong pasar
saya menyapu pisau di sungai,isun nyapu lading nong kali
saya membawa nasi dari dapur,isun nggowo sego teko pawon
mereka membawa pisau ke dapur,wong-wong nggowo lading nyang pawon
kamu mengambil nasi ke bukit,riko njuwut sego nyang puthuk
bapak memanggil sayur ke bukit,bapak ngundang jangan nyang puthuk
bapak mencium kunci ke rumah,bapak ngambung kunci nyang umah
ibu memasak pisang,mak ngolah gedhang
dia memasak anak ke pasar,yane ngolah lare nyang pasar
mereka melihat bunga ke pasar,wong-wong ndeleng kembang nyang pasar
bapak mengambil nasi di rumah,bapak njuwut sego nong umah
mereka memukul pisang ke dapur,wong-wong nyampat gedhang nyang pawon
ibu memanggil air dari sungai,mak ngundang byanyu teko kali
saya memanggil sayur di rumah,isun ngundang jangan nong umah
saya mencium sayur di sungai,isun ngambung jangan nong kali
nenek memasak nasi di rumah,embyah ngolah sego nong umah
dia menyimpan nasi dari pasar,yane nyimpen sego teko pasar
anak mencium anak di dapur,lare ngambung lare nong pawon
mereka mengambil kunci di dapur,wong-wong njuwut kunci nong pawon
nenek mengambil air ke sungai,embyah njuwut byanyu nyang kali
mereka menyapu nasi di dapur,wong-wong nyapu sego nong pawon
anak membawa pisang dari rumah,lare nggowo gedhang teko umah
saya menyimpan kunci ke rumah,isun nyimpen kunci nyang umah
aku mengambil buku di pasar,isun njuwut buku nong pasar
bapak memasak pisang dari dapur,bapak ngolah gedhang teko pawon
ibu menyimpan bunga di rumah,mak nyimpen kembang nong umah
anak menyapu bunga dari rumah,lare nyapu kembang teko umah
dia memukul pisau,yane nyampat lading
anak menyimpan pisau dari pasar,lare nyimpen lading teko pasar
dia menyapu kunci ke sungai,yane nyapu kunci nyang kali
ibu memukul air,mak nyampat byanyu
bapak memanggil air,bapak ngundang byanyu
kamu memasak anak,riko ngolah lare
aku menyimpan kunci,isun nyimpen kunci
